group,slug,url,page_title,median_pay,education,experience,training,jobs_2025,growth,change,openings_per_year,all_occ_median_wage,all_occ_growth_pct,page_last_modified
management,property-real-estate-and-community-association-managers,https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm,"Property, Real Estate, and Community Association Managers","$69,990     per year
                                        $33.65     per hour",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,"460,400",4% (As fast as average),"17,100","36,900","$50,980",3%,"August 27, 2026"
healthcare,pharmacists,https://www.bls.gov/ooh/healthcare/pharmacists.htm,Pharmacists,"$140,910     per year
                                        $67.75     per hour",Doctoral or professional degree,None,None,"325,200",5% (Faster than average),"17,100","12,500","$50,980",3%,"August 27, 2026"
arts-and-design,fashion-designers,https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,Fashion Designers,"$80,960     per year
                                        $38.92     per hour",Bachelor's degree,None,None,"32,700",0% (Little or no change),0,"2,500","$50,980",3%,"August 27, 2026"
sales,retail-sales-workers,https://www.bls.gov/ooh/sales/retail-sales-workers.htm,Retail Sales Workers,"$35,560     per year
                                        $17.10     per hour",No formal educational credential,None,See How to Become One,"4,271,400",0% (Little or no change),"-5,700","550,600",NA,3%,"August 27, 2026"
management,computer-and-information-systems-managers,https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm,Computer and Information Systems Managers,"$175,140     per year
                                        $84.20     per hour",Bachelor's degree,5 years or more,None,"685,800",16% (Much faster than average),"108,100","53,500","$50,980",3%,"August 27, 2026"
computer-and-information-technology,software-developers,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,"Software Developers, Quality Assurance Analysts, and Testers","$134,040     per year
                                        $64.44     per hour",Bachelor's degree,None,None,"1,905,400",10% (Much faster than average),"185,400","106,100","$50,980",3%,"August 27, 2026"
computer-and-information-technology,computer-systems-analysts,https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm,Computer Systems Analysts,"$105,850     per year
                                        $50.89     per hour",Bachelor's degree,None,None,"544,400",8% (Much faster than average),"42,900","32,900","$50,980",3%,"August 27, 2026"
computer-and-information-technology,computer-programmers,https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm,Computer Programmers,"$100,390     per year
                                        $48.26     per hour",Bachelor's degree,None,None,"110,800",-7% (Decline),"-8,100","4,400","$50,980",3%,"August 27, 2026"
healthcare,exercise-physiologists,https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm,Exercise Physiologists,"$59,460     per year
                                        $28.59     per hour",Bachelor's degree,None,None,"21,200",13% (Much faster than average),"2,700","1,400","$50,980",3%,"August 27, 2026"
office-and-administrative-support,receptionists,https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,Receptionists,"$38,010     per year
                                        $18.27     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"947,500",-2% (Decline),"-16,000","105,100",NA,3%,"August 27, 2026"
life-physical-and-social-science,zoologists-and-wildlife-biologists,https://www.bls.gov/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm,Zoologists and Wildlife Biologists,"$76,780     per year
                                        $36.91     per hour",Bachelor's degree,None,None,"19,500",4% (As fast as average),700,"1,400","$50,980",3%,"August 27, 2026"
production,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,"$47,060     per year
                                        $22.63     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"64,300",-2% (Decline),"-1,300","7,100","$50,980",3%,"August 27, 2026"
architecture-and-engineering,architects,https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,Architects,"$99,280     per year
                                        $47.73     per hour",Bachelor's degree,None,Internship/residency,"124,600",4% (As fast as average),"5,300","6,900","$50,980",3%,"August 27, 2026"
management,architectural-and-engineering-managers,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm,Architectural and Engineering Managers,"$171,270     per year
                                        $82.34     per hour",Bachelor's degree,5 years or more,None,"220,900",6% (Faster than average),"12,200","14,900","$50,980",3%,"August 27, 2026"
education-training-and-library,career-and-technical-education-teachers,https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,Career and Technical Education Teachers,"$65,150     per year",Bachelor's degree,Less than 5 years,None,"250,200",0% (Little or no change),-900,"15,500","$50,980",3%,"August 27, 2026"
architecture-and-engineering,civil-engineers,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,Civil Engineers,"$100,840     per year
                                        $48.48     per hour",Bachelor's degree,None,None,"380,600",6% (Faster than average),"24,500","22,700","$50,980",3%,"August 27, 2026"
construction-and-extraction,construction-and-building-inspectors,https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm,Construction and Building Inspectors,"$74,690     per year
                                        $35.91     per hour",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,"153,900",0% (Little or no change),0,"14,800","$50,980",3%,"August 27, 2026"
education-training-and-library,curators-museum-technicians-and-conservators,https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"Archivists, Curators, and Museum Workers","$60,330     per year
                                        $29.00     per hour",See How to Become One,None,None,"38,500",4% (As fast as average),"1,600","4,300","$50,980",3%,"August 27, 2026"
protective-service,security-guards,https://www.bls.gov/ooh/protective-service/security-guards.htm,Security Guards and Gambling Surveillance Officers,"$38,050     per year
                                        $18.29     per hour",High school diploma or equivalent,See How to Become One,See How to Become One,"1,304,000",1% (Slower than average),"11,200","157,200","$50,980",3%,"August 27, 2026"
protective-service,fire-inspectors-and-investigators,https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm,Fire Inspectors,"$73,680     per year
                                        $35.42     per hour",See How to Become One,See How to Become One,Moderate-term on-the-job training,"17,600",6% (Faster than average),"1,000","1,900","$50,980",3%,"August 27, 2026"
arts-and-design,art-directors,https://www.bls.gov/ooh/arts-and-design/art-directors.htm,Art Directors,"$114,850     per year
                                        $55.22     per hour",Bachelor's degree,5 years or more,None,"140,200",4% (As fast as average),"5,900","12,200","$50,980",3%,"August 27, 2026"
sales,models,https://www.bls.gov/ooh/sales/models.htm,Models,"$48,470     per year
                                        $23.30     per hour",No formal educational credential,None,None,"4,200",-2% (Decline),-100,700,NA,3%,"August 27, 2026"
construction-and-extraction,hazardous-materials-removal-workers,https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,Hazardous Materials Removal Workers,"$49,450     per year
                                        $23.78     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"52,700",2% (Slower than average),800,"4,300","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,material-moving-machine-operators,https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,Material Moving Machine Operators,"$46,670     per year
                                        $22.44     per hour",See How to Become One,See How to Become One,See How to Become One,"841,500",1% (Slower than average),"12,000","70,700","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,chemical-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/chemical-technicians.htm,Chemical Technicians,"$60,390     per year
                                        $29.03     per hour",Associate's degree,None,Moderate-term on-the-job training,"60,000",5% (Faster than average),"3,000","7,600","$50,980",3%,"August 27, 2026"
media-and-communication,technical-writers,https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,Technical Writers,"$90,390     per year
                                        $43.46     per hour",Bachelor's degree,Less than 5 years,Short-term on-the-job training,"46,400",1% (Slower than average),400,"3,200","$50,980",3%,"August 27, 2026"
legal,paralegals-and-legal-assistants,https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm,Paralegals and Legal Assistants,"$62,890     per year
                                        $30.24     per hour",Associate's degree,None,None,"404,900",0% (Little or no change),"-1,100","40,800","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,physicists-and-astronomers,https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm,Physicists and Astronomers,"$166,880     per year
                                        $80.23     per hour",Doctoral or professional degree,None,None,"25,600",7% (Much faster than average),"1,900","1,500","$50,980",3%,"August 27, 2026"
entertainment-and-sports,athletes-and-sports-competitors,https://www.bls.gov/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm,Athletes and Sports Competitors,"$66,710     per year",No formal educational credential,None,Long-term on-the-job training,"22,900",6% (Faster than average),"1,300","2,200","$50,980",3%,"August 27, 2026"
entertainment-and-sports,coaches-and-scouts,https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm,Coaches and Scouts,"$47,320     per year",Bachelor's degree,None,None,"298,800",6% (Faster than average),"18,100","36,400","$50,980",3%,"August 27, 2026"
entertainment-and-sports,umpires-referees-and-other-sports-officials,https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm,"Umpires, Referees, and Other Sports Officials","$40,710     per year",High school diploma or equivalent,None,Moderate-term on-the-job training,"18,200",5% (Faster than average),900,"4,300","$50,980",3%,"August 27, 2026"
healthcare,athletic-trainers,https://www.bls.gov/ooh/healthcare/athletic-trainers.htm,Athletic Trainers,"$62,520     per year",Master's degree,None,None,"35,200",13% (Much faster than average),"4,400","2,400","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,atmospheric-scientists-including-meteorologists,https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm,"Atmospheric Scientists, Including Meteorologists","$99,070     per year
                                        $47.63     per hour",Bachelor's degree,None,None,"10,700",3% (As fast as average),300,800,"$50,980",3%,"August 27, 2026"
architecture-and-engineering,nuclear-engineers,https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm,Nuclear Engineers,"$133,970     per year
                                        $64.41     per hour",Bachelor's degree,None,None,"16,600",0% (Little or no change),100,800,"$50,980",3%,"August 27, 2026"
media-and-communication,broadcast-and-sound-engineering-technicians,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"Broadcast, Sound, and Video Technicians","$60,150     per year
                                        $28.92     per hour",See How to Become One,None,Short-term on-the-job training,"136,600",1% (Slower than average),"1,700","9,800","$50,980",3%,"August 27, 2026"
healthcare,audiologists,https://www.bls.gov/ooh/healthcare/audiologists.htm,Audiologists,"$95,780     per year
                                        $46.05     per hour",Doctoral or professional degree,None,None,"14,200",11% (Much faster than average),"1,600",600,"$50,980",3%,"August 27, 2026"
personal-care-and-service,childcare-workers,https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm,Childcare Workers,"$34,980     per year
                                        $16.82     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"1,010,300",-2% (Decline),"-19,900","150,300",NA,3%,"August 27, 2026"
installation-maintenance-and-repair,automotive-body-and-glass-repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,Automotive Body and Glass Repairers,"$52,530     per year
                                        $25.25     per hour",High school diploma or equivalent,None,See How to Become One,"185,800",4% (As fast as average),"7,400","13,900","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,heavy-and-tractor-trailer-truck-drivers,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,Heavy and Tractor-Trailer Truck Drivers,"$58,640     per year
                                        $28.19     per hour",Postsecondary nondegree award,None,Short-term on-the-job training,"2,221,200",4% (As fast as average),"83,800","214,500","$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,automotive-service-technicians-and-mechanics,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-service-technicians-and-mechanics.htm,Automotive Service Technicians and Mechanics,"$50,620     per year
                                        $24.34     per hour",Postsecondary nondegree award,None,Short-term on-the-job training,"825,800",5% (Faster than average),"40,900","66,200","$50,980",3%,"August 27, 2026"
business-and-financial,claims-adjusters-appraisers-examiners-and-investigators,https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,"Claims Adjusters, Appraisers, Examiners, and Investigators","$78,020     per year
                                        $37.51     per hour",See How to Become One,None,See How to Become One,"389,700",-6% (Decline),"-21,800","21,600","$50,980",3%,"August 27, 2026"
computer-and-information-technology,database-administrators,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,Database Administrators and Architects,"$126,760     per year
                                        $60.94     per hour",Bachelor's degree,See How to Become One,None,"144,500",4% (As fast as average),"6,500","7,300","$50,980",3%,"August 27, 2026"
business-and-financial,insurance-underwriters,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,Insurance Underwriters,"$81,370     per year
                                        $39.12     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"125,600",-4% (Decline),"-4,800","6,800","$50,980",3%,"August 27, 2026"
arts-and-design,industrial-designers,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,Industrial Designers,"$83,910     per year
                                        $40.34     per hour",Bachelor's degree,None,None,"35,400",2% (Slower than average),900,"2,800","$50,980",3%,"August 27, 2026"
production,machinists-and-tool-and-die-makers,https://www.bls.gov/ooh/production/machinists-and-tool-and-die-makers.htm,Machinists and Tool and Die Makers,"$59,620     per year
                                        $28.66     per hour",See How to Become One,None,Long-term on-the-job training,"344,900",-1% (Decline),"-2,200","30,400","$50,980",3%,"August 27, 2026"
architecture-and-engineering,materials-engineers,https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,Materials Engineers,"$112,860     per year
                                        $54.26     per hour",Bachelor's degree,None,None,"23,800",8% (Much faster than average),"1,800","1,300","$50,980",3%,"August 27, 2026"
healthcare,medical-assistants,https://www.bls.gov/ooh/healthcare/medical-assistants.htm,Medical Assistants,"$45,690     per year
                                        $21.97     per hour",Postsecondary nondegree award,None,None,"833,900",13% (Much faster than average),"107,600","109,700","$50,980",3%,"August 27, 2026"
architecture-and-engineering,mechanical-engineers,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,Mechanical Engineers,"$104,110     per year
                                        $50.05     per hour",Bachelor's degree,None,None,"298,500",11% (Much faster than average),"33,500","17,800","$50,980",3%,"August 27, 2026"
sales,travel-agents,https://www.bls.gov/ooh/sales/travel-agents.htm,Travel Agents,"$50,160     per year
                                        $24.11     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"61,500",0% (Little or no change),100,"5,900","$50,980",3%,"August 27, 2026"
production,woodworkers,https://www.bls.gov/ooh/production/woodworkers.htm,Woodworkers,"$45,310     per year
                                        $21.79     per hour",High school diploma or equivalent,None,See How to Become One,"199,900",-2% (Decline),"-4,900","18,100","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,microbiologists,https://www.bls.gov/ooh/life-physical-and-social-science/microbiologists.htm,Microbiologists,"$87,990     per year
                                        $42.30     per hour",Bachelor's degree,None,None,"20,100",6% (Faster than average),"1,300","1,500","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,biological-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm,Biological Technicians,"$57,510     per year
                                        $27.65     per hour",Bachelor's degree,None,None,"74,400",7% (Much faster than average),"5,500","9,400","$50,980",3%,"August 27, 2026"
production,bakers,https://www.bls.gov/ooh/production/bakers.htm,Bakers,"$37,160     per year
                                        $17.86     per hour",No formal educational credential,None,Moderate-term on-the-job training,"262,400",6% (Faster than average),"14,500","36,500","$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,industrial-machinery-mechanics-and-maintenance-workers-and-millwrights,https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,"Industrial Machinery Mechanics, Machinery Maintenance Workers, and Millwrights","$64,100     per year
                                        $30.82     per hour",High school diploma or equivalent,None,See How to Become One,"547,300",14% (Much faster than average),"78,900","51,900","$50,980",3%,"August 27, 2026"
entertainment-and-sports,dancers-and-choreographers,https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm,Dancers and Choreographers,$25.40     per hour,See How to Become One,See How to Become One,Long-term on-the-job training,"18,600",2% (Slower than average),400,"2,200",NA,3%,"August 27, 2026"
life-physical-and-social-science,forensic-science-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm,Forensic Science Technicians,"$72,060     per year
                                        $34.65     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"20,100",13% (Much faster than average),"2,700","2,800","$50,980",3%,"August 27, 2026"
management,financial-managers,https://www.bls.gov/ooh/management/financial-managers.htm,Financial Managers,"$166,570     per year
                                        $80.08     per hour",Bachelor's degree,5 years or more,None,"879,700",10% (Much faster than average),"84,900","65,600","$50,980",3%,"August 27, 2026"
business-and-financial,financial-examiners,https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,Financial Examiners,"$94,160     per year
                                        $45.27     per hour",Bachelor's degree,None,Long-term on-the-job training,"70,000",9% (Much faster than average),"6,500","4,500","$50,980",3%,"August 27, 2026"
office-and-administrative-support,financial-clerks,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,Financial Clerks,"$49,990     per year
                                        $24.04     per hour",High school diploma or equivalent,None,See How to Become One,"1,144,900",-4% (Decline),"-45,400","88,000","$50,980",3%,"August 27, 2026"
office-and-administrative-support,tellers,https://www.bls.gov/ooh/office-and-administrative-support/tellers.htm,Tellers,"$43,030     per year
                                        $20.69     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"339,200",-13% (Decline),"-44,700","26,800","$50,980",3%,"August 27, 2026"
food-preparation-and-serving,chefs-and-head-cooks,https://www.bls.gov/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm,Chefs and Head Cooks,"$62,470     per year
                                        $30.03     per hour",High school diploma or equivalent,5 years or more,None,"220,300",7% (Much faster than average),"14,400","25,200","$50,980",3%,"August 27, 2026"
food-preparation-and-serving,cooks,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,Cooks,"$36,640     per year
                                        $17.62     per hour",See How to Become One,See How to Become One,See How to Become One,"2,705,800",7% (Much faster than average),"183,200","393,200",NA,3%,"August 27, 2026"
management,food-service-managers,https://www.bls.gov/ooh/management/food-service-managers.htm,Food Service Managers,"$69,390     per year
                                        $33.36     per hour",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,"344,300",6% (Faster than average),"19,900","38,800","$50,980",3%,"August 27, 2026"
food-preparation-and-serving,food-and-beverage-serving-and-related-workers,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,Food and Beverage Serving and Related Workers,"$31,710     per year
                                        $15.24     per hour",No formal educational credential,None,Short-term on-the-job training,"5,143,000",5% (Faster than average),"280,800","1,078,500",NA,3%,"August 27, 2026"
personal-care-and-service,barbers-hairstylists-and-cosmetologists,https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm,"Barbers, Hairstylists, and Cosmetologists","$35,880     per year
                                        $17.25     per hour",Postsecondary nondegree award,None,None,"670,800",7% (Much faster than average),"48,400","80,300",NA,3%,"August 27, 2026"
food-preparation-and-serving,bartenders,https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm,Bartenders,"$34,340     per year
                                        $16.51     per hour",No formal educational credential,None,Short-term on-the-job training,"762,600",5% (Faster than average),"37,900","121,200",NA,3%,"August 27, 2026"
protective-service,recreational-protective-service-workers,https://www.bls.gov/ooh/protective-service/recreational-protective-service-workers.htm,Recreational Protective Service Workers,"$33,580     per year
                                        $16.14     per hour",No formal educational credential,None,Short-term on-the-job training,"162,000",5% (Faster than average),"8,900","45,400","$50,980",3%,"August 27, 2026"
construction-and-extraction,carpenters,https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,Carpenters,"$60,580     per year
                                        $29.12     per hour",High school diploma or equivalent,None,Apprenticeship,"889,700",4% (As fast as average),"35,000","62,800","$50,980",3%,"August 27, 2026"
office-and-administrative-support,material-recording-clerks,https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,Material Recording Clerks,"$47,600     per year
                                        $22.89     per hour",High school diploma or equivalent,None,See How to Become One,"1,273,500",-6% (Decline),"-70,300","98,600","$50,980",3%,"August 27, 2026"
management,lodging-managers,https://www.bls.gov/ooh/management/lodging-managers.htm,Lodging Managers,"$69,250     per year
                                        $33.29     per hour",High school diploma or equivalent,Less than 5 years,None,"54,800",4% (As fast as average),"2,100","5,500","$50,980",3%,"August 27, 2026"
production,butchers-and-meat-cutters,https://www.bls.gov/ooh/production/butchers-and-meat-cutters.htm,"Meat, Poultry, and Fish Processing Workers","$39,190     per year
                                        $18.84     per hour",No formal educational credential,None,See How to Become One,"359,300",4% (As fast as average),"13,300","39,800","$50,980",3%,"August 27, 2026"
healthcare,psychiatric-technicians-and-aides,https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm,Psychiatric Technicians and Aides,"$45,100     per year
                                        $21.68     per hour",See How to Become One,See How to Become One,Short-term on-the-job training,"198,400",18% (Much faster than average),"36,700","21,900","$50,980",3%,"August 27, 2026"
business-and-financial,compensation-benefits-and-job-analysis-specialists,https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,"Compensation, Benefits, and Job Analysis Specialists","$78,210     per year
                                        $37.60     per hour",Bachelor's degree,Less than 5 years,None,"118,100",6% (Faster than average),"7,100","9,000","$50,980",3%,"August 27, 2026"
architecture-and-engineering,biomedical-engineers,https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,Bioengineers and Biomedical Engineers,"$109,370     per year
                                        $52.58     per hour",Bachelor's degree,None,None,"23,800",8% (Much faster than average),"1,800","1,200","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,biochemists-and-biophysicists,https://www.bls.gov/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm,Biochemists and Biophysicists,"$127,410     per year
                                        $61.26     per hour",Doctoral or professional degree,None,None,"35,200",12% (Much faster than average),"4,300","2,900","$50,980",3%,"August 27, 2026"
healthcare,clinical-laboratory-technologists-and-technicians,https://www.bls.gov/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm,Clinical Laboratory Technologists and Technicians,"$62,930     per year
                                        $30.26     per hour",Bachelor's degree,None,None,"343,000",3% (As fast as average),"9,400","20,800","$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,diesel-service-technicians-and-mechanics,https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm,Diesel Service Technicians and Mechanics,"$61,770     per year
                                        $29.70     per hour",High school diploma or equivalent,None,Long-term on-the-job training,"316,000",4% (As fast as average),"11,400","24,400","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,geographers,https://www.bls.gov/ooh/life-physical-and-social-science/geographers.htm,Geographers,"$102,040     per year
                                        $49.06     per hour",Bachelor's degree,None,None,"1,500",-2% (Decline),0,100,"$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,medical-equipment-repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm,Medical Equipment Repairers,"$61,660     per year
                                        $29.64     per hour",Associate's degree,None,Moderate-term on-the-job training,"71,800",13% (Much faster than average),"9,100","8,200","$50,980",3%,"August 27, 2026"
healthcare,home-health-aides-and-personal-care-aides,https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm,Home Health and Personal Care Aides,"$35,800     per year
                                        $17.21     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"4,677,100",18% (Much faster than average),"847,300","760,500","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,delivery-truck-drivers-and-driver-sales-workers,https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,Delivery Truck Drivers and Driver/Sales Workers,"$43,950     per year
                                        $21.13     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"1,511,400",7% (Much faster than average),"103,000","152,700","$50,980",3%,"August 27, 2026"
construction-and-extraction,insulation-workers,https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,Insulation Workers,"$51,330     per year
                                        $24.68     per hour",See How to Become One,None,See How to Become One,"71,900",3% (As fast as average),"2,500","4,800","$50,980",3%,"August 27, 2026"
production,stationary-engineers-and-boiler-operators,https://www.bls.gov/ooh/production/stationary-engineers-and-boiler-operators.htm,Stationary Engineers and Boiler Operators,"$78,620     per year
                                        $37.80     per hour",High school diploma or equivalent,None,Long-term on-the-job training,"31,200",3% (As fast as average),"1,000","3,200","$50,980",3%,"August 27, 2026"
construction-and-extraction,boilermakers,https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,Boilermakers,"$76,410     per year
                                        $36.74     per hour",High school diploma or equivalent,None,Apprenticeship,"10,200",-2% (Decline),-200,700,"$50,980",3%,"August 27, 2026"
media-and-communication,reporters-correspondents-and-broadcast-news-analysts,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,"News Analysts, Reporters, and Journalists","$62,200     per year
                                        $29.91     per hour",Bachelor's degree,None,None,"47,100",-6% (Decline),"-2,800","3,400","$50,980",3%,"August 27, 2026"
arts-and-design,craft-and-fine-artists,https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,Craft and Fine Artists,"$55,290     per year
                                        $26.58     per hour",See How to Become One,None,Long-term on-the-job training,"53,400",-1% (Decline),-300,"4,300","$50,980",3%,"August 27, 2026"
education-training-and-library,library-technicians-and-assistants,https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,Library Technicians and Assistants,"$38,760     per year
                                        $18.64     per hour",See How to Become One,None,See How to Become One,"162,300",-6% (Decline),"-10,400","23,100",NA,3%,"August 27, 2026"
protective-service,police-and-detectives,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,Police and Detectives,"$77,310     per year
                                        $37.17     per hour",See How to Become One,See How to Become One,Moderate-term on-the-job training,"824,200",3% (As fast as average),"24,200","60,100","$50,980",3%,"August 27, 2026"
sales,wholesale-and-manufacturing-sales-representatives,https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,Wholesale and Manufacturing Sales Representatives,"$76,460     per year
                                        $36.76     per hour",See How to Become One,None,Moderate-term on-the-job training,"1,571,400",0% (Little or no change),"-7,700","123,400","$50,980",3%,"August 27, 2026"
business-and-financial,loan-officers,https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,Loan Officers,"$76,690     per year
                                        $36.87     per hour",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,"283,000",1% (Slower than average),"3,100","17,100","$50,980",3%,"August 27, 2026"
construction-and-extraction,structural-iron-and-steel-workers,https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,Ironworkers,"$61,910     per year
                                        $29.77     per hour",High school diploma or equivalent,None,Apprenticeship,"84,800",1% (Slower than average),"1,300","6,800","$50,980",3%,"August 27, 2026"
construction-and-extraction,painters-construction-and-maintenance,https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,"Painters, Construction and Maintenance","$49,400     per year
                                        $23.75     per hour",No formal educational credential,None,Moderate-term on-the-job training,"326,900",3% (As fast as average),"9,800","24,900","$50,980",3%,"August 27, 2026"
entertainment-and-sports,producers-and-directors,https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,Producers and Directors,"$90,360     per year
                                        $43.44     per hour",Bachelor's degree,Less than 5 years,None,"181,000",4% (As fast as average),"7,300","12,100","$50,980",3%,"August 27, 2026"
business-and-financial,budget-analysts,https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,Budget Analysts,"$91,640     per year
                                        $44.06     per hour",Bachelor's degree,None,None,"50,400",2% (Slower than average),"1,000","2,900","$50,980",3%,"August 27, 2026"
