group,slug,url,page_title,median_pay,education,experience,training,jobs_2025,growth,change,openings_per_year,all_occ_median_wage,all_occ_growth_pct,page_last_modified
community-and-social-service,substance-abuse-behavioral-disorder-and-mental-health-counselors,https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","$59,350     per year
                                        $28.53     per hour",Master's degree,None,Internship/residency,"533,400",18% (Much faster than average),"98,000","50,500","$50,980",3%,"August 27, 2026"
healthcare,physicians-and-surgeons,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Physicians and Surgeons,"$275,930     per year
                                        $132.66     per hour",Doctoral or professional degree,None,Internship/residency,"862,800",4% (As fast as average),"31,300","22,100","$50,980",3%,"August 27, 2026"
community-and-social-service,social-and-human-service-assistants,https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,Social and Human Service Assistants,"$45,930     per year
                                        $22.08     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"463,400",7% (Much faster than average),"34,200","48,900","$50,980",3%,"August 27, 2026"
office-and-administrative-support,general-office-clerks,https://www.bls.gov/ooh/office-and-administrative-support/general-office-clerks.htm,General Office Clerks,"$45,010     per year
                                        $21.64     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"2,600,000",-6% (Decline),"-156,200","249,000",NA,3%,"August 27, 2026"
legal,judges-and-hearing-officers,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,Judges and Hearing Officers,"$132,800     per year
                                        $63.85     per hour",Doctoral or professional degree,5 years or more,Short-term on-the-job training,"42,700",2% (Slower than average),700,"1,300","$50,980",3%,"August 27, 2026"
management,administrative-services-managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm,Administrative Services and Facilities Managers,"$110,500     per year
                                        $53.13     per hour",Bachelor's degree,Less than 5 years,None,"444,800",5% (Faster than average),"22,000","36,100","$50,980",3%,"August 27, 2026"
management,top-executives,https://www.bls.gov/ooh/management/top-executives.htm,Top Executives,"$108,780     per year
                                        $52.30     per hour",Bachelor's degree,5 years or more,None,"3,890,600",5% (Faster than average),"190,600","304,100","$50,980",3%,"August 27, 2026"
community-and-social-service,school-and-career-counselors,https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,School and Career Counselors and Advisors,"$64,330     per year
                                        $30.93     per hour",Master's degree,None,None,"389,500",3% (As fast as average),"11,400","27,800","$50,980",3%,"August 27, 2026"
office-and-administrative-support,information-clerks,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,Information Clerks,"$45,430     per year
                                        $21.84     per hour",See How to Become One,None,See How to Become One,"1,287,600",-2% (Decline),"-30,100","125,600","$50,980",3%,"August 27, 2026"
construction-and-extraction,brickmasons-blockmasons-and-stonemasons,https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,Masonry Workers,"$58,270     per year
                                        $28.02     per hour",See How to Become One,None,See How to Become One,"277,700",1% (Slower than average),"3,300","18,400","$50,980",3%,"August 27, 2026"
construction-and-extraction,construction-laborers-and-helpers,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,Construction Laborers and Helpers,"$46,680     per year
                                        $22.44     per hour",See How to Become One,None,Short-term on-the-job training,"1,674,400",6% (Faster than average),"108,600","137,000","$50,980",3%,"August 27, 2026"
education-training-and-library,adult-literacy-and-ged-teachers,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,Adult Basic and Secondary Education and ESL Teachers,"$61,540     per year
                                        $29.59     per hour",Bachelor's degree,None,None,"41,100",-14% (Decline),"-5,700","3,800","$50,980",3%,"August 27, 2026"
education-training-and-library,teacher-assistants,https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,Teacher Assistants,"$36,780     per year","Some college, no degree",None,None,"1,463,000",0% (Little or no change),"-4,900","176,200","$50,980",3%,"August 27, 2026"
community-and-social-service,social-workers,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,Social Workers,"$61,780     per year
                                        $29.70     per hour",See How to Become One,None,See How to Become One,"816,100",6% (Faster than average),"50,400","69,100","$50,980",3%,"August 27, 2026"
management,advertising-promotions-and-marketing-managers,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,"Advertising, Promotions, and Marketing Managers","$165,780     per year
                                        $79.70     per hour",Bachelor's degree,See How to Become One,None,"454,800",6% (Faster than average),"27,900","36,300","$50,980",3%,"August 27, 2026"
sales,advertising-sales-agents,https://www.bls.gov/ooh/sales/advertising-sales-agents.htm,Advertising Sales Agents,"$64,820     per year
                                        $31.16     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"99,300",-7% (Decline),"-7,100","7,800","$50,980",3%,"August 27, 2026"
business-and-financial,market-research-analysts,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,Market Research Analysts,"$78,760     per year
                                        $37.87     per hour",Bachelor's degree,None,None,"952,700",7% (Much faster than average),"66,300","82,000","$50,980",3%,"August 27, 2026"
media-and-communication,writers-and-authors,https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,Writers and Authors,"$76,910     per year
                                        $36.98     per hour",Bachelor's degree,None,Long-term on-the-job training,"140,300",0% (Little or no change),-500,"11,900","$50,980",3%,"August 27, 2026"
media-and-communication,editors,https://www.bls.gov/ooh/media-and-communication/editors.htm,Editors,"$77,920     per year
                                        $37.46     per hour",Bachelor's degree,Less than 5 years,None,"105,000",-1% (Decline),"-1,100","7,900","$50,980",3%,"August 27, 2026"
media-and-communication,photographers,https://www.bls.gov/ooh/media-and-communication/photographers.htm,Photographers,"$44,660     per year
                                        $21.47     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"145,000",-1% (Decline),"-1,000","10,700",NA,3%,"August 27, 2026"
transportation-and-material-moving,airline-and-commercial-pilots,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,Airline and Commercial Pilots,"$210,020     per year",See How to Become One,See How to Become One,Moderate-term on-the-job training,"154,900",7% (Much faster than average),"11,300","16,400","$50,980",3%,"August 27, 2026"
personal-care-and-service,fitness-trainers-and-instructors,https://www.bls.gov/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm,Fitness Trainers and Instructors,"$47,160     per year
                                        $22.67     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"388,400",7% (Much faster than average),"28,500","68,000","$50,980",3%,"August 27, 2026"
architecture-and-engineering,aerospace-engineers,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,Aerospace Engineers,"$134,960     per year
                                        $64.89     per hour",Bachelor's degree,None,None,"68,700",8% (Much faster than average),"5,700","3,800","$50,980",3%,"August 27, 2026"
architecture-and-engineering,drafters,https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,Drafters,"$68,090     per year
                                        $32.74     per hour",Associate's degree,None,None,"180,200",1% (Slower than average),"1,100","14,400","$50,980",3%,"August 27, 2026"
architecture-and-engineering,aerospace-engineering-and-operations-technicians,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,Aerospace Engineering and Operations Technologists and Technicians,"$82,890     per year
                                        $39.85     per hour",Associate's degree,None,None,"11,600",12% (Much faster than average),"1,400","1,100","$50,980",3%,"August 27, 2026"
sales,sales-engineers,https://www.bls.gov/ooh/sales/sales-engineers.htm,Sales Engineers,"$124,900     per year
                                        $60.05     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"51,600",3% (As fast as average),"1,400","3,800","$50,980",3%,"August 27, 2026"
legal,lawyers,https://www.bls.gov/ooh/legal/lawyers.htm,Lawyers,"$159,670     per year
                                        $76.76     per hour",Doctoral or professional degree,None,None,"863,700",5% (Faster than average),"40,600","28,700","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,agricultural-and-food-science-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm,Agricultural and Food Science Technicians,"$51,160     per year
                                        $24.60     per hour",Associate's degree,None,Moderate-term on-the-job training,"40,400",5% (Faster than average),"2,100","5,900","$50,980",3%,"August 27, 2026"
