occupation_link_text,url,group,slug
Cardiac Catheterization Laboratory Technologist,https://www.bls.gov/ooh/healthcare/cardiovascular-technologists-and-technicians.htm,healthcare,cardiovascular-technologists-and-technicians
Cardiopulmonary Physical Therapist,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,healthcare,physical-therapists
Carpet Layer,https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,construction-and-extraction,tile-and-marble-setters
Cartographic Aide,https://www.bls.gov/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm,architecture-and-engineering,surveying-and-mapping-technicians
Cashiers,https://www.bls.gov/ooh/sales/cashiers.htm,sales,cashiers
Cattle Buyer,https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,business-and-financial,purchasing-managers-buyers-and-purchasing-agents
CCU Nurse,https://www.bls.gov/ooh/healthcare/registered-nurses.htm,healthcare,registered-nurses
Certified Dental Assistant,https://www.bls.gov/ooh/healthcare/dental-assistants.htm,healthcare,dental-assistants
Certified Detention Deputy,https://www.bls.gov/ooh/protective-service/correctional-officers.htm,protective-service,correctional-officers
Certified Diabetes Educator,https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,community-and-social-service,health-educators
Certified Financial Planner,https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm,business-and-financial,personal-financial-advisors
Certified Genetic Counselor,https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,healthcare,genetic-counselors
Certified Industrial Hygienist,https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm,healthcare,occupational-health-and-safety-specialists-and-technicians
