group,slug,url,status
installation-maintenance-and-repair,heavy-vehicle-and-mobile-equipment-service-technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,cached
sales,real-estate-brokers-and-sales-agents,https://www.bls.gov/ooh/sales/real-estate-brokers-and-sales-agents.htm,cached
management,natural-sciences-managers,https://www.bls.gov/ooh/management/natural-sciences-managers.htm,cached
farming-fishing-and-forestry,agricultural-workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,cached
architecture-and-engineering,environmental-engineering-technicians,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineering-technicians.htm,cached
production,assemblers-and-fabricators,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,cached
installation-maintenance-and-repair,heating-air-conditioning-and-refrigeration-mechanics-and-installers,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,cached
construction-and-extraction,sheet-metal-workers,https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,cached
transportation-and-material-moving,hand-laborers-and-material-movers,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,cached
production,painting-and-coating-workers,https://www.bls.gov/ooh/production/painting-and-coating-workers.htm,cached
transportation-and-material-moving,flight-attendants,https://www.bls.gov/ooh/transportation-and-material-moving/flight-attendants.htm,cached
business-and-financial,compliance-officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,cached
architecture-and-engineering,environmental-engineers,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,cached
transportation-and-material-moving,taxi-drivers-and-chauffeurs,https://www.bls.gov/ooh/transportation-and-material-moving/taxi-drivers-and-chauffeurs.htm,cached
management,transportation-storage-and-distribution-managers,https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm,cached
transportation-and-material-moving,air-traffic-controllers,https://www.bls.gov/ooh/transportation-and-material-moving/air-traffic-controllers.htm,cached
life-physical-and-social-science,environmental-science-and-protection-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm,cached
