group,slug,url,status
architecture-and-engineering,civil-engineering-technicians,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm,cached
production,semiconductor-processing-technicians,https://www.bls.gov/ooh/production/semiconductor-processing-technicians.htm,cached
healthcare,dietitians-and-nutritionists,https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm,cached
life-physical-and-social-science,epidemiologists,https://www.bls.gov/ooh/life-physical-and-social-science/epidemiologists.htm,cached
healthcare,physical-therapist-assistants-and-aides,https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,cached
transportation-and-material-moving,railroad-occupations,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,cached
food-preparation-and-serving,waiters-and-waitresses,https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm,cached
farming-fishing-and-forestry,logging-workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm,cached
sales,securities-commodities-and-financial-services-sales-agents,https://www.bls.gov/ooh/sales/securities-commodities-and-financial-services-sales-agents.htm,cached
management,public-relations-managers,https://www.bls.gov/ooh/management/public-relations-managers.htm,cached
management,compensation-and-benefits-managers,https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm,cached
office-and-administrative-support,customer-service-representatives,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,cached
construction-and-extraction,roofers,https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,cached
computer-and-information-technology,computer-and-information-research-scientists,https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,cached
healthcare,radiologic-technologists,https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm,cached
computer-and-information-technology,computer-support-specialists,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,cached
architecture-and-engineering,computer-hardware-engineers,https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm,cached
computer-and-information-technology,computer-network-architects,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm,cached
computer-and-information-technology,information-security-analysts,https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm,cached
business-and-financial,training-and-development-specialists,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,cached
life-physical-and-social-science,conservation-scientists,https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm,cached
management,construction-managers,https://www.bls.gov/ooh/management/construction-managers.htm,cached
business-and-financial,cost-estimators,https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm,cached
management,postsecondary-education-administrators,https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,cached
business-and-financial,financial-analysts,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,cached
business-and-financial,human-resources-specialists,https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm,cached
community-and-social-service,probation-officers-and-correctional-treatment-specialists,https://www.bls.gov/ooh/community-and-social-service/probation-officers-and-correctional-treatment-specialists.htm,cached
arts-and-design,floral-designers,https://www.bls.gov/ooh/arts-and-design/floral-designers.htm,cached
legal,court-reporters,https://www.bls.gov/ooh/legal/court-reporters.htm,cached
business-and-financial,credit-counselors,https://www.bls.gov/ooh/business-and-financial/credit-counselors.htm,cached
life-physical-and-social-science,sociologists,https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm,cached
life-physical-and-social-science,geological-and-petroleum-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/geological-and-petroleum-technicians.htm,cached
personal-care-and-service,tour-and-travel-guides,https://www.bls.gov/ooh/personal-care-and-service/tour-and-travel-guides.htm,cached
life-physical-and-social-science,geoscientists,https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm,cached
media-and-communication,film-and-video-editors-and-camera-operators,https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,cached
education-training-and-library,instructional-coordinators,https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,cached
healthcare,massage-therapists,https://www.bls.gov/ooh/healthcare/massage-therapists.htm,cached
food-preparation-and-serving,food-preparation-workers,https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm,cached
healthcare,dental-hygienists,https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,cached
healthcare,dentists,https://www.bls.gov/ooh/healthcare/dentists.htm,cached
construction-and-extraction,oil-and-gas-workers,https://www.bls.gov/ooh/construction-and-extraction/oil-and-gas-workers.htm,cached
business-and-financial,project-management-specialists,https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm,cached
office-and-administrative-support,desktop-publishers,https://www.bls.gov/ooh/office-and-administrative-support/desktop-publishers.htm,cached
life-physical-and-social-science,psychologists,https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm,cached
production,jewelers-and-precious-stone-and-metal-workers,https://www.bls.gov/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm,cached
computer-and-information-technology,web-developers,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,cached
management,emergency-management-directors,https://www.bls.gov/ooh/management/emergency-management-directors.htm,cached
management,sales-managers,https://www.bls.gov/ooh/management/sales-managers.htm,cached
healthcare,optometrists,https://www.bls.gov/ooh/healthcare/optometrists.htm,cached
management,training-and-development-managers,https://www.bls.gov/ooh/management/training-and-development-managers.htm,cached
education-training-and-library,special-education-teachers,https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,cached
education-training-and-library,preschool-teachers,https://www.bls.gov/ooh/education-training-and-library/preschool-teachers.htm,cached
life-physical-and-social-science,environmental-scientists-and-specialists,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,cached
architecture-and-engineering,industrial-engineers,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,cached
architecture-and-engineering,electro-mechanical-technicians,https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm,cached
architecture-and-engineering,electrical-and-electronics-engineering-technicians,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm,cached
installation-maintenance-and-repair,line-installers-and-repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/line-installers-and-repairers.htm,cached
personal-care-and-service,skincare-specialists,https://www.bls.gov/ooh/personal-care-and-service/skincare-specialists.htm,cached
management,elementary-middle-and-high-school-principals,https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm,cached
construction-and-extraction,elevator-installers-and-repairers,https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,cached
management,human-resources-managers,https://www.bls.gov/ooh/management/human-resources-managers.htm,cached
business-and-financial,labor-relations-specialists,https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm,cached
media-and-communication,public-relations-specialists,https://www.bls.gov/ooh/media-and-communication/public-relations-specialists.htm,cached
business-and-financial,appraisers-and-assessors-of-real-estate,https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm,cached
building-and-grounds-cleaning,pest-control-workers,https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm,cached
personal-care-and-service,manicurists-and-pedicurists,https://www.bls.gov/ooh/personal-care-and-service/manicurists-and-pedicurists.htm,cached
protective-service,firefighters,https://www.bls.gov/ooh/protective-service/firefighters.htm,cached
architecture-and-engineering,health-and-safety-engineers,https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm,cached
construction-and-extraction,plumbers-pipefitters-and-steamfitters,https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,cached
farming-fishing-and-forestry,forest-and-conservation-workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,cached
life-physical-and-social-science,historians,https://www.bls.gov/ooh/life-physical-and-social-science/historians.htm,cached
architecture-and-engineering,mining-and-geological-engineers,https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,cached
construction-and-extraction,glaziers,https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,cached
architecture-and-engineering,landscape-architects,https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm,cached
life-physical-and-social-science,political-scientists,https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm,cached
arts-and-design,graphic-designers,https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,cached
architecture-and-engineering,mechanical-engineering-technicians,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm,cached
healthcare,medical-records-and-health-information-technicians,https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm,cached
sales,insurance-sales-agents,https://www.bls.gov/ooh/sales/insurance-sales-agents.htm,cached
education-training-and-library,high-school-teachers,https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,cached
production,power-plant-operators-distributors-and-dispatchers,https://www.bls.gov/ooh/production/power-plant-operators-distributors-and-dispatchers.htm,cached
life-physical-and-social-science,hydrologists,https://www.bls.gov/ooh/life-physical-and-social-science/hydrologists.htm,cached
architecture-and-engineering,industrial-engineering-technicians,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineering-technicians.htm,cached
management,industrial-production-managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm,cached
production,water-and-wastewater-treatment-plant-and-system-operators,https://www.bls.gov/ooh/production/water-and-wastewater-treatment-plant-and-system-operators.htm,cached
education-training-and-library,middle-school-teachers,https://www.bls.gov/ooh/education-training-and-library/middle-school-teachers.htm,cached
healthcare,veterinary-assistants-and-laboratory-animal-caretakers,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,cached
computer-and-information-technology,network-and-computer-systems-administrators,https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm,cached
healthcare,speech-language-pathologists,https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,cached
healthcare,licensed-practical-and-licensed-vocational-nurses,https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm,cached
business-and-financial,logisticians,https://www.bls.gov/ooh/business-and-financial/logisticians.htm,cached
architecture-and-engineering,marine-engineers-and-naval-architects,https://www.bls.gov/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm,cached
military,military-careers,https://www.bls.gov/ooh/military/military-careers.htm,cached
architecture-and-engineering,petroleum-engineers,https://www.bls.gov/ooh/architecture-and-engineering/petroleum-engineers.htm,cached
life-physical-and-social-science,nuclear-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/nuclear-technicians.htm,cached
healthcare,occupational-therapists,https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,cached
math,operations-research-analysts,https://www.bls.gov/ooh/math/operations-research-analysts.htm,cached
construction-and-extraction,solar-photovoltaic-installers,https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,cached
life-physical-and-social-science,survey-researchers,https://www.bls.gov/ooh/life-physical-and-social-science/survey-researchers.htm,cached
healthcare,radiation-therapists,https://www.bls.gov/ooh/healthcare/radiation-therapists.htm,cached
arts-and-design,set-and-exhibit-designers,https://www.bls.gov/ooh/arts-and-design/set-and-exhibit-designers.htm,cached
installation-maintenance-and-repair,wind-turbine-technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,cached
