group,slug,url,page_title,median_pay,education,experience,training,jobs_2025,growth,change,openings_per_year,all_occ_median_wage,all_occ_growth_pct,page_last_modified,median_pay_usd,growth_pct,jobs_2025_n,employment_change_n,openings_per_year_n,all_occ_median_wage_usd,all_occ_growth_pct_n,education_clean,education_level,openings_rate_pct,growth_jobs_per_year,replacement_share,pay_vs_national,above_median_pay
business-and-financial,labor-relations-specialists,https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm,Labor Relations Specialists,"$95,420     per year
                                        $45.87     per hour",Bachelor's degree,Less than 5 years,None,66300,2% (Slower than average),1400,4800,"$50,980",3%,"August 27, 2026",95420,2,66300,1400,4800,50980,3,Bachelor's degree,Bachelor's degree,7.239819004524887,140,0.9708333333333333,44440,TRUE
media-and-communication,public-relations-specialists,https://www.bls.gov/ooh/media-and-communication/public-relations-specialists.htm,Public Relations Specialists,"$74,750     per year
                                        $35.94     per hour",Bachelor's degree,None,None,314500,2% (Slower than average),5700,23000,"$50,980",3%,"August 27, 2026",74750,2,314500,5700,23000,50980,3,Bachelor's degree,Bachelor's degree,7.3131955484896665,570,0.9752173913043478,23770,TRUE
business-and-financial,appraisers-and-assessors-of-real-estate,https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm,Property Appraisers and Assessors,"$67,960     per year
                                        $32.67     per hour",Bachelor's degree,None,Long-term on-the-job training,68400,3% (As fast as average),2400,5200,"$50,980",3%,"August 27, 2026",67960,3,68400,2400,5200,50980,3,Bachelor's degree,Bachelor's degree,7.60233918128655,240,0.9538461538461538,16980,TRUE
building-and-grounds-cleaning,pest-control-workers,https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm,Pest Control Workers,"$45,250     per year
                                        $21.75     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,108700,6% (Faster than average),6000,13700,"$50,980",3%,"August 27, 2026",45250,6,108700,6000,13700,50980,3,High school diploma or equivalent,High school diploma or equivalent,12.603495860165593,600,0.9562043795620438,-5730,FALSE
personal-care-and-service,manicurists-and-pedicurists,https://www.bls.gov/ooh/personal-care-and-service/manicurists-and-pedicurists.htm,Manicurists and Pedicurists,"$35,760     per year
                                        $17.19     per hour",Postsecondary nondegree award,None,None,201800,9% (Much faster than average),18600,21900,NA,3%,"August 27, 2026",35760,9,201800,18600,21900,50980,3,Postsecondary nondegree award,Postsecondary nondegree award,10.852329038652131,1860,0.915068493150685,-15220,FALSE
protective-service,firefighters,https://www.bls.gov/ooh/protective-service/firefighters.htm,Firefighters,"$59,280     per year
                                        $28.50     per hour",Postsecondary nondegree award,None,Long-term on-the-job training,355300,4% (As fast as average),13100,26800,"$50,980",3%,"August 27, 2026",59280,4,355300,13100,26800,50980,3,Postsecondary nondegree award,Postsecondary nondegree award,7.5429214748100195,1310,0.9511194029850746,8300,TRUE
architecture-and-engineering,health-and-safety-engineers,https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm,Health and Safety Engineers,"$115,160     per year
                                        $55.36     per hour",Bachelor's degree,None,None,22300,5% (Faster than average),1200,1200,"$50,980",3%,"August 27, 2026",115160,5,22300,1200,1200,50980,3,Bachelor's degree,Bachelor's degree,5.381165919282512,120,0.9,64180,TRUE
construction-and-extraction,plumbers-pipefitters-and-steamfitters,https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,"Plumbers, Pipefitters, and Steamfitters","$63,800     per year
                                        $30.67     per hour",High school diploma or equivalent,None,Apprenticeship,510600,7% (Much faster than average),34500,42000,"$50,980",3%,"August 27, 2026",63800,7,510600,34500,42000,50980,3,High school diploma or equivalent,High school diploma or equivalent,8.225616921269095,3450,0.9178571428571428,12820,TRUE
farming-fishing-and-forestry,forest-and-conservation-workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,Forest and Conservation Workers,"$43,680     per year
                                        $21.00     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,14700,-2% (Decline),-200,2200,"$50,980",3%,"August 27, 2026",43680,-2,14700,-200,2200,50980,3,High school diploma or equivalent,High school diploma or equivalent,14.965986394557824,-20,1,-7300,FALSE
life-physical-and-social-science,historians,https://www.bls.gov/ooh/life-physical-and-social-science/historians.htm,Historians,"$76,750     per year
                                        $36.90     per hour",Master's degree,None,None,3800,3% (As fast as average),100,300,"$50,980",3%,"August 27, 2026",76750,3,3800,100,300,50980,3,Master's degree,Master's degree,7.894736842105263,10,0.9666666666666667,25770,TRUE
architecture-and-engineering,mining-and-geological-engineers,https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,Mining and Geological Engineers,"$106,220     per year
                                        $51.07     per hour",Bachelor's degree,None,None,6200,4% (As fast as average),200,300,"$50,980",3%,"August 27, 2026",106220,4,6200,200,300,50980,3,Bachelor's degree,Bachelor's degree,4.838709677419355,20,0.9333333333333333,55240,TRUE
construction-and-extraction,glaziers,https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,Glaziers,"$57,080     per year
                                        $27.44     per hour",High school diploma or equivalent,None,Apprenticeship,59200,2% (Slower than average),1100,3900,"$50,980",3%,"August 27, 2026",57080,2,59200,1100,3900,50980,3,High school diploma or equivalent,High school diploma or equivalent,6.587837837837838,110,0.9717948717948718,6100,TRUE
architecture-and-engineering,landscape-architects,https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm,Landscape Architects,"$79,870     per year
                                        $38.40     per hour",Bachelor's degree,None,Internship/residency,23500,4% (As fast as average),1000,1700,"$50,980",3%,"August 27, 2026",79870,4,23500,1000,1700,50980,3,Bachelor's degree,Bachelor's degree,7.23404255319149,100,0.9411764705882353,28890,TRUE
life-physical-and-social-science,political-scientists,https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm,Political Scientists,"$142,080     per year
                                        $68.31     per hour",Master's degree,None,None,6100,-2% (Decline),-100,400,"$50,980",3%,"August 27, 2026",142080,-2,6100,-100,400,50980,3,Master's degree,Master's degree,6.557377049180328,-10,1,91100,TRUE
arts-and-design,graphic-designers,https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,Graphic Designers,"$62,960     per year
                                        $30.27     per hour",Bachelor's degree,None,None,253100,-2% (Decline),-4200,16000,"$50,980",3%,"August 27, 2026",62960,-2,253100,-4200,16000,50980,3,Bachelor's degree,Bachelor's degree,6.321612011062821,-420,1,11980,TRUE
architecture-and-engineering,mechanical-engineering-technicians,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm,Mechanical Engineering Technologists and Technicians,"$74,510     per year
                                        $35.82     per hour",Associate's degree,None,None,36900,1% (Slower than average),500,3100,"$50,980",3%,"August 27, 2026",74510,1,36900,500,3100,50980,3,Associate's degree,Associate's degree,8.401084010840108,50,0.9838709677419355,23530,TRUE
healthcare,medical-records-and-health-information-technicians,https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm,Medical Records Specialists,"$51,140     per year
                                        $24.59     per hour",Postsecondary nondegree award,None,None,200700,8% (Much faster than average),15600,14000,"$50,980",3%,"August 27, 2026",51140,8,200700,15600,14000,50980,3,Postsecondary nondegree award,Postsecondary nondegree award,6.975585450921773,1560,0.8885714285714286,160,TRUE
sales,insurance-sales-agents,https://www.bls.gov/ooh/sales/insurance-sales-agents.htm,Insurance Sales Agents,"$62,280     per year
                                        $29.94     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,572600,3% (As fast as average),18800,43100,"$50,980",3%,"August 27, 2026",62280,3,572600,18800,43100,50980,3,High school diploma or equivalent,High school diploma or equivalent,7.527069507509605,1880,0.9563805104408353,11300,TRUE
education-training-and-library,high-school-teachers,https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,High School Teachers,"$72,040     per year",Bachelor's degree,None,None,1087500,0% (Little or no change),-2500,63500,"$50,980",3%,"August 27, 2026",72040,0,1087500,-2500,63500,50980,3,Bachelor's degree,Bachelor's degree,5.839080459770115,-250,1,21060,TRUE
